invoice_no,invoice_date,customer_code,customer_name,material_code,material_name,quantity,net_value,plant,sales_org
INV001,2021-06-05,CUST001,Acme Traders,MAT001,Widget A,10,1200,PL01,SO01
INV002,2021-07-12,CUST001,Acme Traders,MAT002,Widget B,6,900,PL01,SO01
INV003,2021-07-20,CUST002,Bright Retail,MAT001,Widget A,4,520,PL02,SO01
INV004,2022-01-15,CUST001,Acme Traders,MAT003,,8,1100,PL01,SO02
INV005,2022-03-09,CUST003,City Stores,MAT004,Widget D,3,-150,PL03,SO02
INV006,2023-06-11,CUST001,Acme Traders,MAT001,Widget A,11,1400,PL01,SO01
INV007,2024-02-14,CUST002,Bright Retail,MAT002,Widget B,7,980,PL02,SO01
INV008,2025-09-24,CUST001,Acme Traders,MAT005,Widget E,5,760,PL01,SO03
INV009,2026-01-18,CUST004,Delta Mart,MAT006,Widget F,9,1300,PL04,SO03
INV002,2021-07-12,CUST001,Acme Traders,MAT002,Widget B,6,900,PL01,SO01
